title,imdbId,year,tmdbId
Komi Can't Communicate,,2021,123876
The Disastrous Life of Saiki K.,,2016,67676
PEN15,,2019,85702
My Love from the Star,,2013,60957
Wakfu,,2008,64414
Dorohedoro,,2020,94404
Succession,,2018,76331
Fleabag,,2016,67070
It's Always Sunny in Philadelphia,,2005,2710
Wayne,,2019,84231
Touch Your Heart,,2019,85404
The Midnight Gospel,,2020,96713
Monty Python's Flying Circus,,1969,849
Taskmaster,,2015,63404
Boys Over Flowers,,2009,16420
Merlí. Sapere Aude,,2019,95601
Welcome to Samdal-ri,,2023,219651
Welcome to Demon School! Iruma-kun,,2019,91801
Seinfeld,,1989,1400
Harina,,2022,158793
Win or Lose,,2025,114500
Andi Mack,,2017,70540
Green Eggs and Ham,,2019,86957
Jurassic World Camp Cretaceous,,2020,93741
The Thundermans,,2013,58981
Phantom Pups,,2022,210694
The Simpsons,,1989,456
Transformers: Animated,,2007,10548
MECH-X4,,2016,68654
Unicorn Academy,,2023,221504
Ninjago: Masters of Spinjitzu,,2012,38693
Horrible Histories,,2009,32419
The Cuphead Show!,,2022,103786
High School Musical: The Musical: The Series,,2019,85801
The Muppet Show,,1976,4459
The Addams Family,,1964,14009
Mrs. Fazilet and Her Daughters,,2017,76560
iCarly,,2007,5371
Gudetama: An Eggcellent Adventure,,2022,203949
That '70s Show,,1998,52
The Munsters,,1964,1712
The Fresh Prince of Bel-Air,,1990,1892
Kid vs. Kat,,2008,17463
Good Luck Charlie,,2010,21641
The Scooby-Doo/Dynomutt Hour,,1976,2150
Free Rein,,2017,72462
Trolls: The Beat Goes On!,,2018,76205
Phineas and Ferb,,2007,1877
Maya and the Three,,2021,132141
Barbie: It Takes Two,,2022,199175
Danger Force,,2020,99583
Bewitched,,1964,4482
The Loud House,,2016,68073
"Scooby-Doo, Where Are You!",,1969,926
K.C. Undercover,,2015,61915
MythBusters,,2003,1428
Chef's Table,,2015,62391
Mr. McMahon,,2024,263089
"Argentine National Team, Road to Qatar",,2022,206085
Pair of Kings,,2010,31628
I Dream of Jeannie,,1965,1660
Ultraseven,,1967,77396
Asterix & Obelix: The Big Fight,,2025,122781
DuckTales,,2017,72350
Gloria Trevi: Ellas soy yo,,2023,231952
Welcome to Wrexham,,2022,126929
Conversations with a Killer: The Jeffrey Dahmer Tapes,,2022,209167
Anthony Bourdain: No Reservations,,2005,4533
Abstract: The Art of Design,,2017,70177
The Walking Dead: Origins,,2021,129035
Anthony Bourdain: Parts Unknown,,2013,56305
Into the Fire: The Lost Daughter,,2024,261649
LIGHT & MAGIC,,2022,201285
The Curious Case of Natalia Grace,,2023,226706
Unsolved Mysteries,,2020,105177
Wild Wild Country,,2018,77601
One Strange Rock,,2018,75782
The Story of Film: An Odyssey,,2011,45571
Taco Chronicles,,2019,91065
Quiet on Set: The Dark Side of Kids TV,,2024,245902
BREAK IT ALL: The History of Rock in Latin America,,2020,114404
Welcome to Earth,,2021,127700
How It's Made,,2001,1749
Down to Earth with Zac Efron,,2020,105288
Attenborough's Life in Colour,,2021,119815
American Manhunt: Osama bin Laden,,2025,283367
American Manhunt: The Boston Marathon Bombing,,2023,222314
The Surgeon's Cut,,2020,113647
Don't F**k with Cats: Hunting an Internet Killer,,2019,96129
Sunderland 'Til I Die,,2018,84777
The Staircase,,2004,21421
James May: Our Man in…,,2020,96723
CHIVAS: El Rebaño Sagrado,,2021,128009
The Toys That Made Us,,2017,75871
aka Charlie Sheen,,2025,298234
Men on a Mission,,2015,70672
Breaking the Magician's Code: Magic's Biggest Secrets Finally Revealed,,2008,6391
Súbete a mi moto,,2020,111119
Sasquatch,,2021,118556
Hitler and the Nazis: Evil on Trial,,2024,253990
Hip Hop Evolution,,2016,67706
"The Mind, Explained",,2019,93514
Long Way Up,,2020,106871
Beast Games,,2024,249522
The Great British Bake Off,,2010,34549
WWE Friday Night SmackDown,,1999,1549
Calle y Poché: No Labels,,2023,228966
RuPaul's Drag Race,,2009,8514
Carmel: Who Killed Maria Marta?,,2020,111495
Ramsay's Kitchen Nightmares,,2004,2178
McGREGOR FOREVER,,2023,225292
American Nightmare,,2024,242845
Kitchen Nightmares,,2007,11294
Car Masters: Rust to Riches,,2018,82357
Vatican Girl: The Disappearance of Emanuela Orlandi,,2022,212186
When the Levees Broke: A Requiem in Four Acts,,2006,16468
Night Stalker: The Hunt for a Serial Killer,,2021,114705
The Keepers,,2017,26101
Physical: Asia,,2025,293613
My Cat from Hell,,2011,59687
Queer Eye,,2018,76922
90 Day Fiancé: Happily Ever After?,,2016,67757
LEGO Masters,,2020,94064
BattleBots,,2015,62959
River Monsters,,2009,18150
Keeping Up with the Kardashians,,2007,14814
Queer Eye: We're in Japan!,,2019,95074
Survivor,,2000,14658
Harry Potter: Hogwarts Tournament of Houses,,2021,133723
Haunted: Latin America,,2021,120587
Life Below Zero,,2013,60910
The Curse of Oak Island,,2014,60603
Below Deck,,2013,50042
The Last Drive-in with Joe Bob Briggs,,2019,88088
Love Never Lies: Destination Sardinia,,2022,214302
Gordon Ramsay's 24 Hours to Hell and Back,,2018,79679
Somebody Feed Phil,,2018,76305
Talking Dead,,2011,42021
Beyond Belief: Fact or Fiction,,1997,12323
The Lodge,,2016,68324
Love & Hip Hop New York,,2011,38360
Gold Rush: White Water,,2018,76506
The Graham Norton Show,,2007,1220
The Challenge,,1998,62
Moonshiners,,2011,46268
Alone,,2015,63726
The Traitors,,2022,215307
Too Hot to Handle: Brazil,,2021,128251
Deadliest Catch,,2005,2612
The Problem with Jon Stewart,,2021,123149
Hot Ones,,2015,72649
Dual Survival,,2010,32997
Conan,,2010,32415
School of Chocolate,,2021,137584
Wheeler Dealers,,2003,10710
8 Out of 10 Cats,,2005,4020
Comedians in Cars Getting Coffee,,2012,59717
Patriot Act with Hasan Minhaj,,2018,83519
NASA's Unexplained Files,,2012,57478
