title,year,imdbId,tmdbId,lastApiCall,lastApiCallFailed,cachedYear,cachedRating,cachedOverview,cachedGenres,cachedRuntime,cachedSeasonCount,cachedImageUrl,cachedFreeServices,cachedPaidServices
All About Eve,1950,tt0042192,,2025-11-17T11:09:18.318Z,false,1950,81,Classic multi-Oscar-winning comic drama. Keen fan Eve ingratiates herself into the life of sharp-tongued Broadway star Margo Channing; whose friends come to suspect the younger woman's intentions.,Drama,138,,https://cdn.movieofthenight.com/show/3488/poster/vertical/en/480.jpg?Expires=1784777997&Signature=GJz--IHUWse1zVctQG7wVMK2E9eVLlooJbTuScgxoDFZR~SlxVXOc7KdAnZsSZhqzKViIYn3~gs079mQynkFRXb-kf48-zwyVpnsYBGZWzKnBlI8T6~bGBq0crZoc7ua2D-27uqGfUKTM7Lnr3BM~285BnWybXVelD5unHUDwjQlLcduRgQnd36E7wBLilHZD1v~ZaBhWSjkCCZW7U4-spij0SDCLvdIJQz0~okFXGL7d8bwjpugV7ViHmGGI7m7SyMM1ny5R5Lk615eZQNdAxhe1AH5rP3ccqvuDr2h1SsP8l0yOtwo6G~9l7gTgDuPpIpGrF9PBcEd~SAD-~yRKA__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https|Prime Video:https
Rear Window,1954,tt0047396,,2025-11-17T11:09:18.318Z,false,1954,84,When professional photographer J.B. “Jeff” Jeffries is confined to a wheelchair with a broken leg; he becomes obsessed with watching the private dramas of his neighbours play out across the courtyard. When he suspects a salesman may have murdered his nagging wife; Jeffries enlists the help of his glamorous socialite girlfriend to investigate the highly suspicious chain of events...,Mystery|Thriller,107,,https://cdn.movieofthenight.com/show/646/poster/vertical/en/480.jpg?Expires=1784701538&Signature=Uw7Lma3Sbk03nG70W6k1vjnYV-K8Um3VRjWpKTPbfr9Gz0nGKi9cvNH54MJiK5gTPEn68q9iv8s-QgnwZYC2ldlnbP-SpMzbqlXnkQREPiVJ5Qp-hX5ncDHl0wo4dXyV8t-4hTC2UyN01VT50XJyswlhYLexcHVwnfhed-C~QpfH6kEPZ-eCSLFtsRfgov40uMoR71nZpgISQeHq4TSpnZic91aYau4~LsXb9LV~UJK-QnXCWlmPzTWqDYZ7He8JzOpFNsJBbG-2eWC8HDVUbom4XBqPWTP8Ni5ykp1SrbOisVNVkYuHbO0khL3rywKr3rQcGD1yY9UEuJfCMpujvA__&Key-Pair-Id=KK4HN3OO4AT5R,Prime Video:https,Prime Video:https|Prime Video:https
North by Northwest,1959,tt0053125,,2025-11-17T11:09:18.318Z,false,1959,82,A lethal case of mistaken identity plunges a New York ad man into a race across the continent as he's pursued by foreign spies out to kill him.,Adventure|Mystery,130,,https://cdn.movieofthenight.com/show/1170/poster/vertical/en/480.jpg?Expires=1784696280&Signature=PYS2QUtpsIh0OjarJBZ5QZPO9L8Ec2BZ4iOTOmOz63nBO6VyuUnvXR86oVGkvmSab3orPz0He1E46O70fJsmuB3z4gcC13yZcmxBCv~fihHct5HCtgBdFrnN7Ho7569pvga01PSSHOEPF3y6dBtMLvew4U5lSRgE8ZQE1Osv7gX39z0Hz4sMCbxHx-7mzPkjTc~dlhVBP83Z7XUv1zlkr-he1srvkq29GbbylreqApqnZXLDbApNHk9y5fYNj-tieqb5Er7CMRaOO1SpZMseXksgJr4Hdoa4NNliWO379EmzcIBwEJw08Zg-tJv8v7t3lrIkLegT7IBDFxVzTFtx-w__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https
Vertigo,1958,tt0052357,,2025-11-17T11:09:18.318Z,false,1958,81,Don't look down! One of Hitchcock's darkest and most compelling films tells the story of a police detective who has a crippling fear of heights. When an old friend asks him to tail his wife; he is drawn into a vortex of deceit; murder and obsession.,Mystery|Romance|Thriller,128,,https://cdn.movieofthenight.com/show/875/poster/vertical/en/480.jpg?Expires=1784699169&Signature=J8BSuRMmSqStePuo1gBR-VpKXa1enMICBuW31puE0K2BDRnUHLn8rIx4zoVpgtIePmQHwFFgM~51qK9eAsNab0r0hnh5xGJ4CPDH0PLDUCl~J0Vm17IMWnYEtTTlMspVi-gfJV~1tfdYx18rss09s6oophPBO-2ivqaq3V89cV0vHGFf29SzpB3aeze1XJQXs2zAwrvVqO8yv1hjvpTJRM24WNXdvsSUclDyhmKfAidXOrkegKg1AOUVWecqlJo6wVgMq0DliUjSizOUDVudtHBFo8u3mB3CQK~39fmgkmw5h2e3JVDP~tTynPTTouM99GRnv6QV9IwMIXbRDaB4Cg__&Key-Pair-Id=KK4HN3OO4AT5R,Prime Video:https,Prime Video:https|Prime Video:https
Psycho,1960,tt0054215,,2025-11-17T11:09:18.318Z,true,,,,,,,,,
The Birds,1963,tt0056869,,2025-11-17T11:09:18.318Z,false,1963,75,Socialite Melanie follows a handsome lawyer back to his coastal home. She is menaced by birds on the road and has to take cover as the aerial attacks intensify. Based on Daphne du Maurier's story.,Horror|Mystery,119,,https://cdn.movieofthenight.com/show/2355/poster/vertical/en/480.jpg?Expires=1784735749&Signature=IMIXQtCWlataOkDRZtHMJiZY5YF9wTm4HbOZULnW2HBDa~-GMxJwJiFWA42Px08WnFZvL06-sZqfPlYtTzQceF6zXNeZmyeGW2kFyTkqtYioRTzLm6kCvymFL9Hb3G5XB5NuIh9LOB34MCkhPd7KgkxCl~UC9se651KGl4qZqFovZaDaNTrcO8uRaA9bJjd-ZbtVwzDSW5Pzbk4PlzjVvPxfqdCbP9JkVFrpzqjuiB4IxL9vukxIAHMQ8G906MSj20zw4aIodBi69oxRDYCXPrpZGM75znwwuJYTB6evgorXm4razn8UZJJsSrpbI1NyGl4t6brFDOydV7Av1Fj4eg__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https
Mr. Smith Goes to Washington,1939,tt0031679,,2025-11-17T11:09:18.318Z,true,,,,,,,,,
It Happened One Night,1934,tt0025316,,2025-11-17T11:09:18.318Z,false,1934,80,When a brash reporter starts trailing a runaway heiress on her bus trip from Florida to New York for a big scoop; can love be far behind?,Comedy|Romance,100,,https://cdn.movieofthenight.com/show/4415/poster/vertical/en/480.jpg?Expires=1784747044&Signature=k8tT946lXXc-fBLQylhESXI6-chQsTWrE5643BGkbsxnn5FvhyJnuEefdG93h963AI~Pan332yP2i30t44E7hvfmOYf6rZHfj2l5gsFOiaPhOl26zlWOpssGfvaJA1mnZGF7q8BD8aeihcd0030nP2xuU45~tmUxFKtnf~uiWwzGkdmID5zE406MrEO23d5a6GU052e8VpJtJOExVeCJ2cK~AYpAWsM~GzKFF0CYQ4H45UzaO9QTkV0bg5h-sypTltj44D-ai8vjuyqIHhWAomdQ7gDchL4nAOJbzbYb0bayrkfRw89ElFEQJH5OrviNmkPOdOEZm2gh4nfIDCRvTg__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https
The Apartment,1960,tt0053604,,2025-11-17T11:09:18.318Z,false,1960,82,A corporate drone hatches a scheme for success: Let the execs use his apartment for “dates.” It goes beautifully; until his love interest gets hurt.,Comedy|Drama|Romance,120,,https://cdn.movieofthenight.com/show/2488/poster/vertical/en/480.jpg?Expires=1784736136&Signature=QR0M0lcIXzR6u9cLy6I0OXg51UWl7BNOzw0yV0-4VZZzjPb0UjDZnFSmwPVU1UQde-GKxWRGF7HnobiKU~BNLTf1mKyppFAJwfbCybgrMt6M5Jchdy3lfyhNBktAEIMkze5riH2-VzRfchbiqGtNOA-AOW4WjyhwWoIzwiuWunFbdGOVq0B6ytlRapkKacwCPNkMgtzQFjG~Rp0mwmcvnQqCHXl6bCkTWZrVXy8Zji8mINCB-ZNSMV7Rp5Cuc8cUjouGpka2JKUvlMbgiqQT4J6C7X6Q5CXMn22vMpjZ2u-K6~vjvXRZHUfb3Szvmbsru11n2wzKgZaA0~iIzIIR4Q__&Key-Pair-Id=KK4HN3OO4AT5R,,Prime Video:https|Prime Video:https|Prime Video:https
Some Like It Hot,1959,tt0053291,,2025-11-17T11:09:18.318Z,true,,,,,,,,,
